src,dst,count
(#Corona|#Coronavirus),$824739796249612288,13
(#Corona|#Coronavirus),$1292782091055149057,8
(#Corona|#Coronavirus),$1292216657839104007,8
(#Corona|#Coronavirus),$1303737398292078593,7
(#Corona|#Coronavirus),$1229433137698045960,4
(#Corona|#Coronavirus),$1221022446616285184,4
(#Corona|#Coronavirus),$2262514882,4
(#Corona|#Coronavirus),$1275057455345487872,3
(#Corona|#Coronavirus),$1157774700413669376,3
(#Corona|#Coronavirus),$992141495040913409,3
(#Corona|#Coronavirus),$415671568,3
(#Corona|#Coronavirus),$8720562,3
(#Corona|#Coronavirus),$185367751,3
(#Corona|#Coronavirus),$18045237,3
(#Corona|#Coronavirus),$1160844249019166721,3
(#Corona|#Coronavirus),$1150704566557691907,3
(#Corona|#Coronavirus),$518521626,3
(#Corona|#Coronavirus),$871002488710860800,3
(#Corona|#Coronavirus),$777783836717481984,3
(#Corona|#Coronavirus),$41888720,3
(#Corona|#Coronavirus),$229785547,3
(#Corona|#Coronavirus),$488615658,3
(#Corona|#Coronavirus),$3700081461,3
(#Corona|#Coronavirus),$37930051,2
(#Corona|#Coronavirus),$19609062,2
(#Corona|#Coronavirus),$1297939292350746626,2
(#Corona|#Coronavirus),$4084912948,2
(#Corona|#Coronavirus),$272752165,2
(#Corona|#Coronavirus),$1272162520527187968,2
(#Corona|#Coronavirus),$820976594,2
(#Corona|#Coronavirus),$2358645936,2
(#Corona|#Coronavirus),$51109042,2
(#Corona|#Coronavirus),$888171678,2
(#Corona|#Coronavirus),$1057614354659622912,2
(#Corona|#Coronavirus),$1269955323697209346,2
(#Corona|#Coronavirus),$871683828531814400,2
(#Corona|#Coronavirus),$1275100874206072835,2
(#Corona|#Coronavirus),$1232810499118682125,2
(#Corona|#Coronavirus),$1249709621864026113,2
(#Corona|#Coronavirus),$800990319189852160,2
(#Corona|#Coronavirus),$374419221,2
(#Corona|#Coronavirus),$3347895549,2
(#Corona|#Coronavirus),$1256846940807069697,2
(#Corona|#Coronavirus),$136289916,2
(#Corona|#Coronavirus),$1280525849679233025,2
(#Corona|#Coronavirus),$907382831130857472,2
(#Corona|#Coronavirus),$724147778524483584,2
(#Corona|#Coronavirus),$1283488713889198082,2
(#Corona|#Coronavirus),$1225170233138319362,2
(#Corona|#Coronavirus),$5474222,2
(#Corona|#Coronavirus),$984590668306804737,2
(#Corona|#Coronavirus),$1040992558271397890,2
(#Corona|#Coronavirus),$941380912138289152,2
(#Corona|#Coronavirus),$752518384814792704,2
(#Corona|#Coronavirus),$2983141825,2
(#Corona|#Coronavirus),$632077820,2
(#Corona|#Coronavirus),$90524645,2
(#Corona|#Coronavirus),$1054355414731710465,2
(#Corona|#Coronavirus),$1296564384332947457,2
(#Corona|#Coronavirus),$327811537,2
(#Corona|#Coronavirus),$1303971063248945154,2
(#Corona|#Coronavirus),$1216252913317634048,2
(#Corona|#Coronavirus),$487776562,2
(#Corona|#Coronavirus),$962318245461151744,2
(#Corona|#Coronavirus),$2708393068,2
(#Corona|#Coronavirus),$878258751731585026,2
(#Corona|#Coronavirus),$1231857387872702464,2
(#Corona|#Coronavirus),$91090642,2
(#Corona|#Coronavirus),$1226132986711638017,2
(#Corona|#Coronavirus),$1166724223,2
(#Corona|#Coronavirus),$2552435287,2
(#Corona|#Coronavirus),$341367267,2
(#Corona|#Coronavirus),$614147591,2
(#Corona|#Coronavirus),$775634466727485440,2
(#Corona|#Coronavirus),$1385192168,2
(#Corona|#Coronavirus),$1256764453,2
(#Corona|#Coronavirus),$94979487,2
(#Corona|#Coronavirus),$961971236891963393,2
(#Corona|#Coronavirus),$1242813568422227969,2
(#Corona|#Coronavirus),$39240673,2
(#Corona|#Coronavirus),$1361415758,2
(#Corona|#Coronavirus),$2969405391,2
